settled_date,league,home_team,away_team,market,bets,staked,profit_loss,roi_pct,pdf_proof
2026-02-15,La Liga,Getafe,Villarreal,1X2,1,100,250,250,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391051_1x2_14.02.2026%20Getafe%20CF%20vs%20Villarreal%20CF.pdf
2026-02-16,Bundesliga,RB Leipzig,VfL Wolfsburg,1X2,1,50,-50,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388503_1x2_15.02.2026%20RB%20Leipzig%20vs%20VfL%20Wolfsburg%201x2.pdf
2026-02-16,La Liga,Oviedo,Athletic Club,1X2,1,100,161,161,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391057_1x2_15.02.2026%20Real%20Oviedo%20vs%20Athletic%20Bilbao%201x2.pdf
2026-02-22,Bundesliga,Union Berlin,Bayer Leverkusen,1X2,2,146,298.9,204.7,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388513_1x2_31.01.2026%20Bayern%20Munchen%20(PG)%20vs%20Union%20Saint-Gilloise%20(PG)%20.pdf
2026-02-22,La Liga,Real Betis,Rayo Vallecano,1X2,3,211,-211,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391063_1x2_01.02.2026%20Real%20Madrid%20vs%20Rayo%20Vallecano.pdf
2026-02-22,Premier League,Crystal Palace,Wolves,1X2,1,100,156,156,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379232_1x2_22.02.2026%20Crystal%20Palace%20vs%20Wolverhampton%20Wanderers.pdf
2026-02-22,Bundesliga,FC St. Pauli,Werder Bremen,1X2,1,152,299.44,197,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388512_1x2_22.02.2026%20St.%20Pauli%20vs%20Werder%20Bremen.pdf
2026-02-22,La Liga,Celta Vigo,Mallorca,1X2,3,217,299.46,138,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391064_1x2_22.02.2026%20Celta%20Vigo%20vs%20RCD%20Mallorca.pdf
2026-02-22,Serie A,AC Milan,Parma,1X2,2,200,-200,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378121_1x2_22.02.2026%20AC%20Milan%20vs%20Parma.pdf
2026-02-22,Bundesliga,1. FC Heidenheim,VfB Stuttgart,1X2,2,161,-161,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388509_1x2_22.02.2026%20FC%20Heidenheim%201846%20vs%20VfB%20Stuttgart.pdf
2026-02-23,Serie A,Bologna,Udinese,1X2,1,100,192,192,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378115_1x2_23.02.2026%20Bologna%20vs%20Udinese.pdf
2026-02-25,UEFA Champions League,Bayer Leverkusen,Olympiakos Piraeus,1X2,2,200,-200,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1515523_1x2_24.02.2026%20Bayer%2004%20Leverkusen%20vs%20Olympiacos.pdf
2026-02-25,UEFA Champions League,Inter,Bodo/Glimt,1X2,2,200,-200,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1515524_1x2_24.02.2026%20Inter%20Milan%20vs%20Bodo%20Glimt.pdf
2026-02-28,Bundesliga,FC Augsburg,1. FC Köln,1X2,3,218,298.84,137.1,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388515_1x2_27.02.2026%20Augsburg%20vs%20FC%20Koln.pdf
2026-03-01,Serie A,Sassuolo,Atalanta,1X2,3,233,-233,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378130_1x2_01.03.2026%20Sassuolo%20vs%20Atalanta.pdf
2026-03-01,Premier League,Manchester United,Crystal Palace,1X2,2,133,262.96,197.7,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379246_1x2_01.03.2026%20Manchester%20United%20vs%20Crystal%20Palace.pdf
2026-03-01,La Liga,Elche,Espanyol,1X2,1,50,-50,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391071_1x2_01.03.2026%20Elche%20vs%20RCD%20Espanyol%20(OU).pdf
2026-03-01,La Liga,Valencia,Osasuna,1X2,2,171,299.25,175,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391078_1x2_01.03.2026%20Valencia%20CF%20vs%20CA%20Osasuna.pdf
2026-03-03,Serie A,Pisa,Bologna,1X2,4,240,290.8,121.2,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378128_1x2_02.03.2026%20Pisa%20vs%20Bologna.pdf
2026-03-03,La Liga,Real Madrid,Getafe,1X2,2,151,-151,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391076_1x2_23.04.2026%20Real%20Sociedad%20vs%20Getafe%20CF%20(1x2).pdf
2026-03-05,Premier League,Leeds,Sunderland,1X2,3,300,-300,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379254_1x2_03.03.2026%20Leeds%20United%20vs%20Sunderland.pdf
2026-03-05,Premier League,Bournemouth,Brentford,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379250_1x2_03.03.2026%20AFC%20Bournemouth%20vs%20Brentford.pdf
2026-03-05,Premier League,Newcastle,Manchester United,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379256_1x2_04.03.2026%20Newcastle%20United%20vs%20Manchester%20United.pdf
2026-03-06,La Liga,Celta Vigo,Real Madrid,1X2,1,100,156,156,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391081_1x2_12.04.2026%20Celta%20Vigo%20vs%20Real%20Oviedo%20(1x2).pdf
2026-03-11,La Liga,Levante,Girona,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1391084_1x2_07.03.2026%20Levante%20UD%20vs%20Girona.pdf
2026-03-11,Bundesliga,SC Freiburg,Bayer Leverkusen,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388526_1x2_07.03.2026%20SC%20Freiburg%20vs%20Bayer%2004%20Leverkusen.pdf
2026-03-11,Bundesliga,VfL Wolfsburg,Hamburger SV,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388532_1x2_07.03.2026%20VfL%20Wolfsburg%20vs%20Hamburger%20SV.pdf
